course_id,course_title,url,price,level,content_duration,subject
1070968,Ultimate Investment Banking Course,https://www.udemy.com/ultimate-investment-banking-course/,200,All Levels,1.5 hours,Business Finance
1113822,Complete GST Course & Certification - Grow Your CA Practice,https://www.udemy.com/goods-and-services-tax/,75,All Levels,39 hours,Business Finance
1006314,Financial Modeling for Business Analysts and Consultants,https://www.udemy.com/financial-modeling-for-business-analysts-and-consultants/,45,Intermediate Level,2.5 hours,Business Finance
1210588,Beginner to Pro - Financial Analysis in Excel 2017,https://www.udemy.com/complete-excel-finance-course-from-beginner-to-pro/,95,All Levels,3 hours,Business Finance
1011058,How To Maximize Your Profits Trading Options,https://www.udemy.com/how-to-maximize-your-profits-trading-options/,200,Intermediate Level,2 hours,Business Finance
192870,Trading Penny Stocks: A Guide for All Levels In 2017,https://www.udemy.com/trading-penny-stocks-a-guide-for-all-levels/,150,All Levels,3 hours,Business Finance
739964,Investing And Trading For Beginners: Mastering Price Charts,https://www.udemy.com/investing-and-trading-for-beginners-mastering-price-charts/,65,Beginner Level,1 hour,Business Finance
403100,"Trading Stock Chart Patterns For Immediate, Explosive Gains",https://www.udemy.com/trading-chart-patterns-for-immediate-explosive-gains/,95,All Levels,2.5 hours,Business Finance
476268,Options Trading 3 : Advanced Stock Profit and Success Method,https://www.udemy.com/day-trading-stock-options-3/,195,Expert Level,2.5 hours,Business Finance
1167710,The Only Investment Strategy You Need For Your Retirement,https://www.udemy.com/the-only-investment-strategy-you-need-for-your-retirement/,200,All Levels,1 hour,Business Finance
592338,Forex Trading Secrets of the Pros With Amazon's AWS,https://www.udemy.com/trading-with-amazons-aws-servers-trade-secrets-of-the-pros/,200,All Levels,5 hours,Business Finance
975046,Trading Options With Money Flow,https://www.udemy.com/trading-options-using-money-flow/,200,All Levels,1 hour,Business Finance
742602,Financial Management Risk and Return For Securities,https://www.udemy.com/risk-and-return-finance/,30,All Levels,1.5 hours,Business Finance
794151,Forex Trading Course: Work Smarter Not Harder Proven Results,https://www.udemy.com/the-complete-trading-course/,195,All Levels,2 hours,Business Finance
1196544,Python Algo Trading: Sentiment Trading with News,https://www.udemy.com/hedge-fund-strategy-trading-with-sentiment-analysis/,200,All Levels,7 hours,Business Finance
504036,Short Selling: Learn To Sell Stocks Before The Fall,https://www.udemy.com/short-selling-learn-to-sell-before-the-fall/,75,Intermediate Level,1.5 hours,Business Finance
719698,Basic Technical Analysis: Learn the structure of the market,https://www.udemy.com/learn-basic-technical-analysis/,20,Beginner Level,1.5 hours,Business Finance
564966,The Complete Chart Pattern Trading Course: A Proven Approach,https://www.udemy.com/make-money-trading-stocks-from-home/,200,All Levels,4 hours,Business Finance
606928,7 Deadly Mistakes of Investing that Will Slash Your Profits!,https://www.udemy.com/7-deadly-mistakes-of-investing/,50,All Levels,1.5 hours,Business Finance
